"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"R2,R1";"R_0805_2012Metric";2;"5.1K";;;
2;"J7";"PinHeader_1x10_P2.54mm_Vertical";1;"LOW_ROW";;;
3;"R9,R11,R8";"R_0805_2012Metric";3;"10K";;;
4;"R15,R14,R12";"R_0805_2012Metric";3;"10k";;;
5;"C7,C10,C1,C5";"C_0805_2012Metric";4;"10u";;;
6;"C6,C17,C18,C8,C14,C9,C4,C11,C16,C13";"C_0805_2012Metric";10;"0.1u";;;
7;"C12";"C_0805_2012Metric";1;"1u";;;
8;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ACS712";;;
9;"D1,D2,D4";"LED_0805_2012Metric";3;"LED";;;
10;"BUS_I2C_1_1,BUS_I2C_2_1";"RJ9_Evercom_5301-440xxx_Horizontal";2;"TSL2591";;;
11;"C2,C3";"C_0805_2012Metric";2;"100n";;;
12;"R10";"R_0805_2012Metric";1;"R";;;
13;"U2";"SOT-223-3_TabPin2";1;"AZ1117-3.3";;;
14;"FC28_1";"RJ9_Evercom_5301-440xxx_Horizontal";1;"HUMIDITY_SOIL";;;
15;"J6";"PinHeader_1x09_P2.54mm_Vertical";1;"LEFT_ROW";;;
16;"PLUVIOMETER_2,PLUVIOMETER_1,PLUVIOMETER_3";"RJ9_Evercom_5301-440xxx_Horizontal";3;"PLUVIOMETER";;;
17;"J4";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"CURRENT";;;
18;"HX711_1,HX711_2";"RJ9_Evercom_5301-440xxx_Horizontal";2;"NET_WEIGHT";;;
19;"D3";"D_SMA";1;"D_Schottky";;;
20;"J3";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"VOLTAGE";;;
21;"U3";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
22;"R7,R5,R6,R4,R3";"R_0805_2012Metric";5;"1K";;;
23;"J1";"USB_C_Receptacle_XKB_U262-16XN-4BVC11";1;"USB";;;
24;"DS18B20_1";"RJ9_Evercom_5301-440xxx_Horizontal";1;"TEMP_SOIL";;;
25;"J5";"PinHeader_1x12_P2.54mm_Vertical";1;"RIGHT_ROW";;;
26;"BUS_I2C_1_3,BUS_I2C_2_2";"RJ9_Evercom_5301-440xxx_Horizontal";2;"EXTENDER";;;
27;"SW2";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";1;"BOOT";;;
28;"U1";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
29;"J2";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"VEXT";;;
30;"C15";"C_0805_2012Metric";1;"1n";;;
31;"DHT22_1";"RJ9_Evercom_5301-440xxx_Horizontal";1;"AIR_HUMIDITY/AIR_TEMPERATURE";;;
32;"BUS_I2C_1_2";"RJ9_Evercom_5301-440xxx_Horizontal";1;"BME680";;;
33;"Q1,Q2";"SOT-23-3";2;"Q_NPN_BEC";;;
34;"W_SPEED_1/W_DIR_1";"RJ9_Evercom_5301-440xxx_Horizontal";1;"WIND";;;
35;"DAVIS6450_1";"RJ9_Evercom_5301-440xxx_Horizontal";1;"SOLAR_RADIATION";;;
36;"SW1";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";1;"RESET";;;
37;"R13";"R_0805_2012Metric";1;"2.2k";;;
