Designator,Mid X,Mid Y,Rotation,Layer
BUS_I2C_1_1,104.89,-129.3275,0.0,top
BUS_I2C_1_2,92.64,-129.2175,0.0,top
BUS_I2C_1_3,80.0725,-104.25,270.0,top
BUS_I2C_2_1,117.39,-129.3275,0.0,top
BUS_I2C_2_2,80.0725,-116.75,270.0,top
C1,132.34,-63.95,0.0,top
C10,121.29,-60.675,270.0,top
C11,77.84,-87.0,90.0,top
C12,90.84,-90.5,0.0,top
C13,126.59,-116.41,0.0,top
C14,139.09,-116.41,0.0,top
C15,134.84,-52.45,180.0,top
C16,134.84,-54.95,180.0,top
C17,154.25,-76.1,270.0,top
C18,154.25,-63.6,270.0,top
C2,132.34,-61.45,0.0,top
C3,117.79,-49.175,0.0,top
C4,123.79,-51.175,90.0,top
C5,121.29,-51.175,90.0,top
C6,121.29,-56.675,90.0,top
C7,123.79,-56.675,90.0,top
C8,113.29,-63.175,0.0,top
C9,94.79,-39.95,180.0,top
D1,99.9025,-42.45,0.0,top
D2,99.9025,-47.45,0.0,top
D3,128.34,-65.95,90.0,top
D4,77.84,-90.9375,90.0,top
DAVIS6450_1,167.1675,-103.85,90.0,top
DHT22_1,167.2675,-91.6,90.0,top
DS18B20_1,167.1675,-116.3,90.0,top
FC28_1,154.64,-129.2175,0.0,top
HX711_1,167.1675,-54.85,90.0,top
HX711_2,154.75,-42.0825,180.0,top
J1,113.79,-37.95,180.0,top
J2,131.075,-40.45,0.0,top
J3,80.34,-40.45,0.0,top
J4,142.575,-40.45,0.0,top
J5,85.31,-53.45,90.0,top
J6,89.1,-80.95,90.0,top
J7,103.34,-67.34,180.0,top
PLUVIOMETER_1,142.39,-129.3275,0.0,top
PLUVIOMETER_2,167.1675,-79.35,90.0,top
PLUVIOMETER_3,167.2675,-67.1,90.0,top
Q1,113.29,-66.8125,270.0,top
Q2,109.29,-66.8125,270.0,top
R1,110.84,-45.8625,270.0,top
R10,80.34,-87.0,90.0,top
R11,82.84,-87.0,90.0,top
R12,120.5525,-119.91,0.0,top
R13,154.25,-113.5125,90.0,top
R14,71.84,-46.45,0.0,top
R15,71.84,-48.95,180.0,top
R2,115.84,-45.95,270.0,top
R3,99.84,-44.95,180.0,top
R4,99.99,-49.95,0.0,top
R5,103.9025,-42.45,180.0,top
R6,103.815,-47.45,180.0,top
R7,80.34,-91.0,270.0,top
R8,109.29,-74.45,180.0,top
R9,109.29,-71.675,0.0,top
SW1,92.34,-87.0,180.0,top
SW2,91.715,-43.45,0.0,top
U1,113.79,-56.675,180.0,top
U2,121.44,-66.175,0.0,top
U3,85.52,-67.2,90.0,top
U4,141.34,-52.925,180.0,top
W_SPEED_1/W_DIR_1,129.89,-129.3275,0.0,top
